SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
21210204             FX     C3140101   ST          30-NOV-2007      
21210305             FX     RD000009   PA          30-NOV-2007      
21210306             FX     C3140301   ST          30-NOV-2007      
21210307             FX     C3140201   ST          30-NOV-2007      
21210308             FX     C3140302   ST          30-NOV-2007      
21210309             FX     C3140203   ST          30-NOV-2007      
21210310             FX     C3140303   ST          30-NOV-2007      
21210411             25     780112     DS           5-MAR-2008      
21210412             FX     C3110302   ST          30-NOV-2007      
21210413             FX     C3110301   ST          30-NOV-2007      
21210414             FX     C3110203   ST          30-NOV-2007      
21210415             FX     C3110202   ST          30-NOV-2007      
21210416             FX     C3110201   ST          30-NOV-2007      
21210417             FX     C3110103   ST          30-NOV-2007      
21210418             FX     C3110102   ST          30-NOV-2007      
21210519             FX     C3090102   DS          30-NOV-2007      
